Xbox Game Title	Title ID	Title	XDK version
Dead or Alive XtremeBeachVolleyBall	0x54430007	Dead or Alive XtremeBeachVolleyBall	4928
Dead to Rights	0x4541002C	Dead To Rights	5120
Dead to Rights II: Hell to Pay	0x4E4D0015	Dead To Rights 2	5849
Deathrow	0x55530004	Deathrow	4721
Def Jam: Fight For NY	0x45410049	DJFFNY	5849
Defender	0x4D570006	Defender	4928
Delta Force – Black Hawk Down	0x4E4C0002	Delta Force BHD	5849
Dennou Taisen DroneZ	0x4D440003	DroneZ	5849
Destroy All Humans!	0x54510026	Destroy All Humans!	5849
Destroy All Humans! 2	0x54510106	Destroy All Humans! 2	5849
Deus Ex: Invisible War	0x45530005	Deus Ex: Invisible War	5558
Die Hard: Vendetta	0x56560029	Die Hard: Vendetta	5344
Digimon Battle Chronicle	0x42410001	Digimon Battle Chronicle	5788
Digimon Rumble Arena 2	0x42410001	Digimon Rumble Arena 2	5788
Digimon World 4	0x42410002	DigimonWorld4	5849
Digimon World X	0x42410002	デジモンワールドＸ	5849
Dino Crisis 3	0x43430003	DINO CRISIS 3	5558
Dinosaur Hunting	0x4D530069	DinosaurHunting	5455
Dinotopia: The Sunstone Odyssey	0x544D000F	Dinotopia: The Sunstone Odyssey	5455
Disney’s Chicken Little	0x42560002	Chicken Little	5849
Disney's Extreme Skate Adventure	0x41560027	Disney Extreme Skate Adventure	5455
Doom 3	0x41560020	DOOM 3	5849
DOOM 3: Resurrection of Evil	0x4156004E	DOOM 3 RoE	5849
Double-S.T.E.A.L	0x42550001	DOUBLE-STEAL	4134
Double-S.T.E.A.L - The Second Clash	0x42550004	DOUBLE S.T.E.A.L SECOND CLASH	5849
Dr. Muto	0x4D570011	Dr. Muto	4928
Dr. Seuss' The Cat in the Hat	0x56550028	Cat In The Hat	5659
Dragon Ball Z: Sagas	0x4947007A	Dragon Ball Z Sagas	5849
Dragon's Lair 3D	0x55530012	Dragon's Lair 3D	5659
Drake	0x4D4A000B	Drake	5558
Dreamfall: The Longest Journey (NTSC)	0x41590004	Dreamfall	5849
Dreamfall: The Longest Journey (PAL)	0x4D580001	Dreamfall	5849
Drihoo	0x48570001	DRIHOO	4928
DRIV3R	0x49470038	DRIV3R	5849
Driver Parallel Lines	0x4947007F	Driver : Parallel Lines	5849
DTM Race Driver 2 - Ultimate Racing Simulator	0x434D0011	Race Driver 2	5849
DTM Race Driver 3 - The Ultimate Racing Simulator	0x434D0050	Race Driver 3	5849
DTM Race Driver Live	0x434D000E	DTM Race Driver	5558
Dungeons & Dragons: Heroes	0x49470013	D&D Heroes	5455
Dynasty Warriors 3	0x4B4F0003	DynastyWarriors3	4721
Dynasty Warriors 4	0x4B4F0004	DynastyWarriors4	5455
Dynasty Warriors 5	0x4B4F0007	Dynasty Warriors 5	5849
EA Sports Arena Football	0x45410094	Arena Football™	5849
EA Sports Cricket 2005	0x45410074	EA SPORTS™ Cricket 2005	5849
EA Sports: Fight Night Round 3	0x45410086	EA SPORTS FN 3	5849
Ed, Edd n Eddy: The Mis-Edventures	0x4D570032	Ed, Edd n Eddy: The MIS-EDventures	5849
Egg Mania: Eggstreme Madness	0x4B420002	Egg Mania	4627
Elder Scrolls III: Morrowind	0x42530001	Morrowind	4531
Enclave	0x5655000E	Enclave	4531
Enter The Matrix	0x49470022	Enter The Matrix	5344
Eragon	0x56550043	Eragon	5849
ESPN College Hoops 2K4	0x53450024	ESPN College Hoops	5558
ESPN College Hoops 2K5	0x53450033	ESPN COLLEGE HOOPS 2K5	5849
ESPN Football 2004	0x53450022	ESPN NFL FOOTBALL	5558
ESPN International Winter Sports	0x4B4E000B	Winter Sports	4134
ESPN Major League Baseball	0x53450028	ESPN Major League Baseball	5659
ESPN MLS ExtraTime 2002	0x4B4E0005	ESPN MLS Extratime 2002	4134
ESPN NBA 2K5	0x53450031	ESPN NBA 2K5	5849
ESPN NBA 2Night 2002	0x4B4E0006	NBA2NIGHT 2002	4361
ESPN NBA Basketball	0x53450023	ESPN NBA BASKETBALL	5558
ESPN NFL 2K5	0x53450030	ESPN NFL 2K5	5849
ESPN NFL Primetime 2002	0x4B4E0003	ESPN NFL PrimeTime 2002	3948
ESPN NHL 2K5	0x53450032	ESPN NHL 2K5	5849
ESPN NHL Hockey	0x53450026	ESPN NHL Hockey	5558
ESPN X-Games Snowboarding 2002	0x4B4E0009	ESPN Winter X Games Snowboarding 2002	4134
Evil Dead Regeneration	0x54510025	Evil Dead: Regeneration	5849
Evil Dead: Fistfull of Boomstick	0x5451000B	Evil Dead: A Fistful Of Boomstick	5233
Exa Skeleton	0x4B4B0003	ExaSkeleton	5455
ExChaser	0x49460001	ExChaser	5028
F1 2001	0x45410007	F1 2001	3925
